    ,code    ,time_key            ,open ,close,high ,low  ,pe_ratio,turnover_rate,volume ,turnover          ,change_rate         ,last_close,%k                ,%d                ,%j
89  ,HK.00700,2021-01-05  11:35:00,581.5,581.5,582.0,581.0,0.0     ,0.0          ,107400 ,62450500.0        ,0.08605851979345955 ,581.0     ,21.92602470187319 ,43.172901453845526,-20.567728802071485
90  ,HK.00700,2021-01-05  11:40:00,581.5,582.0,582.5,581.0,0.0     ,0.0          ,127700 ,74295350.0        ,0.08598452278589853 ,581.5     ,22.000074081960765,37.87969461085173 ,-9.75916697582116
91  ,HK.00700,2021-01-05  11:45:00,581.5,581.5,582.5,581.0,0.0     ,0.0          ,97800  ,56888400.0        ,-0.0859106529209622 ,582.0     ,19.625055561462965,33.31603484848991 ,-7.756903012590932
92  ,HK.00700,2021-01-05  11:50:00,582.0,581.5,582.0,581.0,0.0     ,0.0          ,67400  ,39201150.0        ,0.0                 ,581.5     ,18.88545833776211 ,29.708390720799294,-2.7604064283122582
93  ,HK.00700,2021-01-05  11:55:00,582.0,581.5,582.0,581.0,0.0     ,0.0          ,43500  ,25293250.0        ,0.0                 ,581.5     ,18.33076041998725 ,26.86398314559116 ,1.2643149687794306
94  ,HK.00700,2021-01-05  12:00:00,581.0,580.0,581.5,580.0,0.0     ,0.0          ,70700  ,41067400.0        ,-0.2579535683576956 ,581.5     ,13.748070314984245,23.585004937935   ,-5.925798930917267
95  ,HK.00700,2021-01-05  13:05:00,580.5,579.5,581.0,579.5,0.0     ,0.0          ,258900 ,150189000.0       ,-0.08620689655172414,580.0     ,10.3110527362347  ,20.26651688750656 ,-9.599875566309024
96  ,HK.00700,2021-01-05  13:10:00,579.5,579.0,580.0,578.5,0.0     ,0.0          ,126200 ,73069500.0        ,-0.08628127696289906,579.5     ,10.85828955217644 ,17.914460053672244,-3.2540514508151688
97  ,HK.00700,2021-01-05  13:15:00,578.5,579.0,579.5,578.5,0.0     ,0.0          ,115600 ,66912700.0        ,0.0                 ,579.0     ,11.268717164132564,16.253024331286376,1.3001028298249366
98  ,HK.00700,2021-01-05  13:20:00,579.0,580.5,580.5,579.0,0.0     ,0.0          ,121400 ,70385500.0        ,0.25906735751295334 ,579.0     ,20.951537873103565,17.427652716741175,27.999308185828347
99  ,HK.00700,2021-01-04  09:35:00,558.0,567.0,568.0,557.5,0.0     ,0.0          ,1595500,895221050.0       ,0.5319148936170213  ,564.0     ,25.21365340482904 ,19.374152888763764,36.89265443695958
100 ,HK.00700,2021-01-04  09:40:00,566.5,567.0,569.5,566.0,0.0     ,0.0          ,399400 ,226858100.0       ,0.0                 ,567.0     ,28.604117604643005,21.68164406773413 ,42.44906467846075
101 ,HK.00700,2021-01-04  09:45:00,566.5,571.5,571.5,566.0,0.0     ,0.0          ,360000 ,204841450.0       ,0.7936507936507936  ,567.0     ,35.73880248919782 ,25.195933673100686,56.8245401213921
102 ,HK.00700,2021-01-04  09:50:00,571.5,575.0,575.0,571.0,0.0     ,0.0          ,603100 ,345589800.0       ,0.6124234470691163  ,571.5     ,45.03326853356629 ,30.155267388217762,74.78927082426335
103 ,HK.00700,2021-01-04  09:55:00,575.0,576.0,577.0,574.0,0.0     ,0.0          ,732800 ,422098500.0       ,0.17391304347826086 ,575.0     ,53.455802464005366,35.980401157165254,88.4066050776856
104 ,HK.00700,2021-01-04  10:00:00,575.5,578.0,578.0,575.0,0.0     ,0.0          ,396800 ,228788200.0       ,0.3472222222222222  ,576.0     ,62.37446054365688 ,42.57891600378866 ,101.96554962339331
105 ,HK.00700,2021-01-04  10:05:00,578.0,579.0,579.5,577.5,0.0     ,0.0          ,447000 ,258533100.0       ,0.17301038062283736 ,578.0     ,70.15041062513441 ,49.47178965912549 ,111.50765255715226
106 ,HK.00700,2021-01-04  10:10:00,579.0,577.5,579.5,577.5,0.0     ,0.0          ,329100 ,190408650.0       ,-0.25906735751295334,579.0     ,74.3519384036336  ,55.691826845252784,111.67216152039522
107 ,HK.00700,2021-01-04  10:15:00,577.5,576.0,578.5,575.5,0.0     ,0.0          ,342900 ,197904050.0       ,-0.2597402597402597 ,577.5     ,76.78668107545255 ,60.965540402802894,108.42896242075186
108 ,HK.00700,2021-01-04  10:20:00,575.5,577.0,577.5,575.5,0.0     ,0.0          ,270100 ,155794650.0       ,0.1736111111111111  ,576.0     ,77.96038117695981 ,65.21425059634223 ,103.452642338195
109 ,HK.00700,2021-01-04  10:25:00,576.5,578.0,578.0,576.0,0.0     ,0.0          ,297800 ,171850150.0       ,0.1733102253032929  ,577.0     ,80.69250810494212 ,69.08381497349228 ,103.90989436784179
110 ,HK.00700,2021-01-04  10:30:00,577.5,577.5,578.0,577.0,0.0     ,0.0          ,158500 ,91535900.0        ,-0.08650519031141868,578.0     ,79.63702813753011 ,71.72211826450177 ,95.46684788358678
111 ,HK.00700,2021-01-04  10:35:00,577.5,578.0,578.5,577.5,0.0     ,0.0          ,240600 ,139085750.0       ,0.08658008658008658 ,577.5     ,77.90958928496575 ,73.26898601961778 ,87.19079581566166
112 ,HK.00700,2021-01-04  10:40:00,578.5,578.5,579.0,577.0,0.0     ,0.0          ,364000 ,210525800.0       ,0.08650519031141868 ,578.0     ,77.87663640816876 ,74.42089861675554 ,84.78811199099522
113 ,HK.00700,2021-01-04  10:45:00,578.5,578.5,579.0,577.5,0.0     ,0.0          ,207200 ,119839300.0       ,0.0                 ,578.5     ,77.15747730612657 ,75.1050432890983  ,81.26234534018309
114 ,HK.00700,2021-01-04  10:50:00,578.0,578.0,578.5,577.0,0.0     ,0.0          ,231600 ,133795050.0       ,-0.08643042350907519,578.5     ,73.4931079795949  ,74.70205946172246 ,71.07520501533978
115 ,HK.00700,2021-01-04  10:55:00,578.0,577.0,578.0,577.0,0.0     ,0.0          ,189500 ,109435600.0       ,-0.17301038062283736,578.0     ,65.83411669898186 ,72.48507377103729 ,52.53220255487099
116 ,HK.00700,2021-01-04  11:00:00,577.0,579.0,579.0,576.5,0.0     ,0.0          ,343100 ,198281250.0       ,0.3466204506065858  ,577.0     ,74.37558752423642 ,72.95770220933709 ,77.21135815403508
117 ,HK.00700,2021-01-04  11:05:00,578.5,578.5,579.0,578.0,0.0     ,0.0          ,187200 ,108308300.0       ,-0.08635578583765112,579.0     ,76.61502397651066 ,73.87203265113048 ,82.101006627271
